album_name_live,track_name_studio,artist_name_studio,track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness,difference_duration,difference_overall,key_variable
Living In Clip,Anticipate - No Walls Mixtape,Ani DiFranco,6MiF5MPYTZ1GY3cU43tYq61VgYNfTRTNHHtRgzrGSjnU,-0.18,-52.874,0.088,-0.105,-0.0176,-0.234,-0.532,14973,1.1566,difference_speechiness
So Much Shouting So Much Laughing,32 Flavors,Ani DiFranco,6oipWwDsUB0XCoZfZeRBvW23tryMqDojI0Ki8savw3aI,0.097,7.416,-0.0132,0.242,0.0078,0.56,0.207,-125640,1.127,difference_valence
So Much Shouting So Much Laughing,Ain’t That the Way,Ani DiFranco,4XHNjBFbhwR2bPifJjzlW17DQ2qWneuA4BnllCvei4Nf,0.199,94.505,0.128,-0.245,-0.0133,-0.054,-0.45,-20854,1.0893000000000002,difference_energy
So Much Shouting So Much Laughing,You Had Time,Ani DiFranco,5ezdmutheOfhOIdoEeK5vM6EB59ZdPOIo2XVO015kNL8,0.321,78.504,-0.0072,-0.182,0.1061,0.15,-0.273,-112200,1.0393,difference_energy
Living In Clip,In or Out,Ani DiFranco,6aZ30pFvwiEelirZjzFrec1fqRQzg55sFRkipqobmqvK,0.219,-1.709,-0.047,-0.155,0.116,-0.1,-0.4016,15986,1.0386,difference_energy
Living In Clip,Amazing Grace,Ani DiFranco,21YSagcmCqR28GV8NxBMHc4c11wlavT3E8z1PpdBM6C6,0.082,13.855,-0.0777,-0.306,0.0281,-0.359,-0.1613,-53147,1.0141,difference_energy
So Much Shouting So Much Laughing,Gratitude - No Walls Mixtape,Ani DiFranco,1OF6xl0u5S8dq8jlyUAQLG5gHfLv8Xnth87pq7u6MRle,-0.074,3.838,-0.0032,-0.31,-0.0004,-0.313,-0.311,43426,1.0116,difference_instrumentalness
So Much Shouting So Much Laughing,What How When Where (Why Who),Ani DiFranco,4v0QMMSs0M79S7MiOeJGck1t3igFTBGIkjEUw8jL1HrX,0.383,14.969,-0.1215,-0.08,-0.034,-0.161,-0.201,-83640,0.9805,difference_energy
Living In Clip,32 Flavors,Ani DiFranco,6oipWwDsUB0XCoZfZeRBvW5wu15zxO2EANgp5o4D4k6a,-0.248,17.628,-0.0239,-0.112,-0.0125,-0.022,0.554,-79707,0.9724,difference_acousticness
So Much Shouting So Much Laughing,Not a Pretty Girl,Ani DiFranco,4pkQxuzzRyNzBmpQXztC3M5k6jboQ4TbfazyCyNxy4LL,0.157,-25.78,-0.0196,0.231,0.0006,0.295,0.237,-37613,0.9402,difference_valence
Living In Clip,Anticipate,Ani DiFranco,5AHxvIZBZCUDdAUMLAbLj61VgYNfTRTNHHtRgzrGSjnU,0.214,-24.838,0.036,-0.057,8.57e-06,-0.139,-0.475,27640,0.92100857,difference_energy
So Much Shouting So Much Laughing,Jukebox,Ani DiFranco,4KDF1hWMnqjlzQPiSSOyAf3JEOCFBr1BUX7lNZ8jdGjp,0.185,-25.377,-0.022,-0.283,0.0087,-0.375,0.0167,89974,0.8904000000000001,difference_energy
Living In Clip,Out of Range (Electric),Ani DiFranco,16oXjlIsDDwk78A06ABEi75v3RcQMbdWPgD97oyiUQlo,-0.178,4.738,0.04,-0.131,0.0001,-0.372,0.1649,61920,0.8859999999999999,difference_acousticness
Living In Clip,Gravel,Ani DiFranco,7LjFcq4C2NGlXrSadUma792rFmj1PY792SoPbIdGsqfk,0.049,-5.537,-0.0824,-0.134,0.0,-0.342,-0.2586,39707,0.866,difference_energy
So Much Shouting So Much Laughing,To The Teeth (Shootout Remix),Ani DiFranco,382zGDGUbJK1SMzXK3xucw7ptxR2dzwBc1R3kQqKvLAH,-0.086,-32.055,-0.0744,-0.295,-0.1725,-0.104,-0.1309,57173,0.8628,difference_speechiness
So Much Shouting So Much Laughing,To the Teeth,Ani DiFranco,4ZhtIgZ3rIXQnjdDns3I7v7ptxR2dzwBc1R3kQqKvLAH,0.078,15.184,0.0007,-0.068,-0.0001,0.043,-0.6249,-33134,0.8147,difference_energy
Living In Clip,Willing to Fight,Ani DiFranco,4LqiwnQe4ZlR8prQGIjzaJ2tW0ADyWrkTDV6kocGbQjJ,0.005,-1.312,0.0358,0.075,0.0,-0.215,-0.4823,23067,0.8130999999999999,difference_dance
So Much Shouting So Much Laughing,Shrug,Ani DiFranco,0L36EUnswf1OQjmEuxJWbI4r4dmIjPCxtJG5nIMemU7l,-0.206,-3.359,-0.0051,0.115,0.0213,-0.077,0.384,-5200,0.8084,difference_acousticness
So Much Shouting So Much Laughing,Self Evident,Ani DiFranco,6I1P3GWjKbq54PBfJYXe4W1Furo59c21kyX8aw5ZRru5,-0.223,59.727,-0.4,-0.026,0.0,0.024,-0.123,44840,0.796,difference_valence
Living In Clip,Letter to a John,Ani DiFranco,7qCU1BGUeMw09K9DdxXZOV4OCAEXpCR1mBMZBBgJzoIV,0.266,-71.73,-0.0593,0.083,0.039,0.306,-0.014,10373,0.7673,difference_valence
So Much Shouting So Much Laughing,Not a Pretty Girl - No Walls Mixtape,Ani DiFranco,2SHYJ9EmTY7qS3PUIf5FkT5k6jboQ4TbfazyCyNxy4LL,0.191,1.135,0.0109,-0.063,-0.0319,-0.01,-0.443,19920,0.7498,difference_energy
Living In Clip,Shameless,Ani DiFranco,2wxgkTPRT6jBuLVAxo89033MqzrHNXBHogH6NHQ2fDlb,0.126,1.256,-0.1089,-0.204,-0.0605,0.153,0.0878,-16931,0.7402,difference_valence
So Much Shouting So Much Laughing,Grey - No Walls Mixtape,Ani DiFranco,3R8lLsjaPoti6UlmV2GPfS4EXJd5ljIBB0MeuLxGoTd4,-0.043,-6.171,-0.0012,-0.069,0.1257,-0.1595,-0.339,18387,0.7374,difference_instrumentalness
So Much Shouting So Much Laughing,Swan Dive - No Walls Mixtape,Ani DiFranco,0tgZCOxgu3DG9RmJ4CvbVD3CKPWOuEBXLn8jWsGtkIfb,-0.07,55.591,0.0293,0.045,-0.0393,0.089,-0.453,70467,0.7256,difference_valence
Living In Clip,Out of Range,Ani DiFranco,7ex5yazkaGs29dypNeP6BW5v3RcQMbdWPgD97oyiUQlo,-0.304,-2.175,-0.0585,0.054,-0.0004,0.1,-0.185,51480,0.7019000000000001,difference_valence
So Much Shouting So Much Laughing,Dilate - No Walls Mixtape,Ani DiFranco,4lkKZR0CVhOPHLyhkwagfd7rT5fSWT3TFZMBEQmn43Bk,-0.093,-4.482,0.0216,-0.077,-0.0004,-0.027,-0.474,71827,0.693,difference_speechiness
So Much Shouting So Much Laughing,Grey,Ani DiFranco,2NVsZGu1472jZGL0qZB3Ny4EXJd5ljIBB0MeuLxGoTd4,0.2509,46.182,-0.0021,-0.033,0.1264,-0.0016,-0.247,20307,0.661,difference_energy
Living In Clip,Joyful Girl,Ani DiFranco,3874Ac5TPH544Zdh06na1X498PnsqLjAa8OgekQUktTi,-0.1301,58.93,-0.1772,-0.074,0.0,-0.078,0.201,-41966,0.6603,difference_acousticness
Living In Clip,Both Hands,Ani DiFranco,4FJsFAdLFGqrmuM74CIzhs3yz7UNhnF7jIwdWMFQoUNt,0.122,0.384,-0.0254,-0.403,0.0156,-0.074,-0.018,73440,0.658,difference_energy
So Much Shouting So Much Laughing,Swan Dive,Ani DiFranco,6npEPLgNyJ4UzWyjSyH1KJ3CKPWOuEBXLn8jWsGtkIfb,0.036,12.961,0.0358,-0.035,0.0001,0.276,0.26,19134,0.6429,difference_valence
Living In Clip,Overlap,Ani DiFranco,1WhZuGEyMHkYGAa04UqsD63UvGmt9jQmLjqxkR7wE7QA,0.114,57.82,0.1123,0.01,-0.0001,-0.118,-0.286,463694,0.6404,difference_energy
So Much Shouting So Much Laughing,Gratitude,Ani DiFranco,0PMFa39oZsrpeOYLe6NEtr5gHfLv8Xnth87pq7u6MRle,0.179,6.124,-0.0115,-0.095,0.0014,-0.156,-0.154,35960,0.5969,difference_energy
So Much Shouting So Much Laughing,Cradle and All,Ani DiFranco,5Y7dKrLuMZADSbq7BjhtwO2JbNmNtMVkhhAOVJmEkXdY,0.169,-5.814,0.026,0.063,-0.0146,0.081,-0.23,22880,0.5836000000000001,difference_energy
Living In Clip,Untouchable Face,Ani DiFranco,2E8AVQcuYSlXm12g112Kef7wsK8rdtPbNEOgpu7fcflG,-0.214,1.499,0.0232,-0.126,-0.0001,-0.114,-0.075,-62333,0.5523,difference_speechiness
Living In Clip,Napoleon,Ani DiFranco,7JFuQSjHY65h90ZdRn02Eu6sqaZjJYuI9TI0mdODnSLa,0.087,87.852,-0.0715,-0.023,5.75e-06,-0.007,0.351,-93588,0.53950575,difference_acousticness
So Much Shouting So Much Laughing,Rock Paper Scissors,Ani DiFranco,5EQ2eFgKJtVffXdwpejnUk6pt8jHR4GEpmfgNmAspN3B,0.012,8.922,-0.0431,-0.094,-0.0245,0.231,-0.018,-65520,0.4226000000000001,difference_valence
Living In Clip,Sorry I Am,Ani DiFranco,7IhPlamSU4sc5WLReokQxy7Kmp7eljiv62IZp57CSrOd,-0.0169,68.754,-0.009,-0.109,0.0046,-0.205,-0.077,-1440,0.4215,difference_instrumentalness
So Much Shouting So Much Laughing,Napoleon,Ani DiFranco,7JFuQSjHY65h90ZdRn02Eu1rJZcY9kUnRJ1AtZOFDagS,0.173,79.212,0.042,-0.07,0.0064,-0.093,0.018,6479,0.40240000000000004,difference_energy
Living In Clip,I'm No Heroine,Ani DiFranco,1adbS4O1niPAEhQzuEu5J25y001ZHpPg3Vjowf0Fy80D,0.052,12.323,0.0819,-0.039,0.0,0.094,-0.126,56360,0.39289999999999997,difference_valence
Living In Clip,Shy,Ani DiFranco,55JAZodePCqoyXueneRnPT5E8HkUmXHle2xQ6CLtsU2A,0.184,2.657,-0.0342,-0.056,-0.0007,0.031,-0.066,-16240,0.3719,difference_energy
Living In Clip,Adam and Eve,Ani DiFranco,5VsnTF82gYUCL45RAIiZ2b4BVX9qqLlrKxmFtyGfevIN,0.0531,-3.294,-0.0017,-0.037,0.0057,0.0723,-0.162,-64001,0.3318,difference_valence
So Much Shouting So Much Laughing,Dilate,Ani DiFranco,5ptYOK56DFsTJ7Nazk4BRv7rT5fSWT3TFZMBEQmn43Bk,-0.048,89.424,-0.0749,0.078,-0.0001,0.0366,0.0741,65389,0.3117,difference_dance
So Much Shouting So Much Laughing,Revelling,Ani DiFranco,7yHVeXM6xN6nWKvvyKuxvz6WjtfoQQWe30wd9LuMsaWI,0.12,23.585,-0.0035,-0.03,0.0183,0.0159,-0.085,-39520,0.27270000000000005,difference_energy
So Much Shouting So Much Laughing,Welcome To:,Ani DiFranco,3rhJAs5MEE52YqqW2CJcAf7FTwnfeYWnTt8ZBtrpLcOh,-0.019,-87.018,-0.0089,0.13,0.0039,-0.013,0.097,-10266,0.27180000000000004,difference_dance
Living In Clip,Untouchable Face,Ani DiFranco,64PN8dtCRX1tjByf6yfe2X7wsK8rdtPbNEOgpu7fcflG,-0.145,0.186,0.0119,0.015,4.08e-06,-0.006,-0.034,-520,0.21190408,difference_dance
Living In Clip,Distracted,Ani DiFranco,6cGy4kYQuKpMM60TyHH7nz1LJ9f3oys6ESilBMMVMgNS,-0.007,-6.851,0.009,-0.098,0.0,-0.057,0.029,-280,0.2,difference_acousticness
So Much Shouting So Much Laughing,Reckoning,Ani DiFranco,2kHK4PLfeUg3s8dmWiQKN35AquEmuSRxAIq26GyscGsy,0.0775,10.196,-0.0038,-0.02,-0.0005,0.0247,-0.065,-39493,0.19149999999999998,difference_energy
Live in Stockholm,Respect (with The Royal Philharmonic Orchestra),Aretha Franklin,5WzvMWs3IrIWnLL77XUmFI3oBZ5xTyAg4tFMFhg4RdLC,-0.054,29.073,0.0399,-0.355,0.8888,-0.306,0.6694,200320,2.3131,difference_instrumentalness
Live in Stockholm,Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr3oBZ5xTyAg4tFMFhg4RdLC,0.074,28.859,0.0321,-0.462,0.889,-0.338,0.515,209826,2.3101000000000003,difference_instrumentalness
Live in Stockholm,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,5K09WxKdlkroDyEVyOSySy1kIgGlaAwTNOWW5qkB4m2B,0.126,-6.251,0.0189,-0.305,0.872,0.274,0.609,25188,2.2049000000000003,difference_instrumentalness
Live in Stockholm,Don't Let Me Lose This Dream,Aretha Franklin,6Ku82QCBc2uC0yfl7GJVVj0CHmCJpKWdbwwQMaH4zQMP,0.021,4.268,0.0108,-0.34,0.927,0.257,0.606,-93,2.1618,difference_instrumentalness
Live in Stockholm,(You Make Me Feel Like) A Natural Woman - Mono,Aretha Franklin,1S8YOLgJKX5w4i4UhdbKzk1kIgGlaAwTNOWW5qkB4m2B,0.128,-6.298,0.0196,-0.309,0.872,0.256,0.574,23145,2.1586000000000003,difference_instrumentalness
Live in Stockholm,(Sweet Sweet Baby) Since You've Been Gone - Mono,Aretha Franklin,1fQfd7oyrrcjsCA3qUnhKX5vg7K9MwOrotD1Q8gnYZgx,-0.067,27.939,0.1853,-0.458,0.8686,-0.272,0.154,-8158,2.0049,difference_instrumentalness
Live in Stockholm,I Never Loved a Man (The Way I Love You) - Stereo,Aretha Franklin,6soyMRtt1bM1ba5e8Hg4o64iAjI9JjtB4qnLuBgjqrMW,0.181,-63.544,0.0146,-0.416,0.8642,-0.049,0.473,61947,1.9977999999999998,difference_instrumentalness
Live in Stockholm,I Never Loved a Man (The Way I Love You),Aretha Franklin,1hES47PrbU8GPTI5A9lsr04iAjI9JjtB4qnLuBgjqrMW,0.113,-63.239,0.0206,-0.362,0.8341,-0.095,0.525,56400,1.9497,difference_instrumentalness
Live in Stockholm,Chain of Fools,Aretha Franklin,2oZmMp5M6L0Rh7G84Um2tF3MqJC3K59vRJYTLwuitEj5,-0.141,18.163,-0.0015,-0.33,0.656,-0.203,0.591,3651,1.9225,difference_instrumentalness
Live in Stockholm,Baby I Love You,Aretha Franklin,2VXUTvGuqBE3AC0ZMkouAe6RjffiYbpA5X3QYwYsIV2a,0.137,16.506,0.0161,-0.359,0.881,-0.178,0.26,-12867,1.8311,difference_instrumentalness
Live in Stockholm,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,3lrSnngQqNWgvQmcFbCJCx5vg7K9MwOrotD1Q8gnYZgx,0.069,28.449,0.192,-0.424,0.8376,-0.251,0.04,-5744,1.8136,difference_instrumentalness
Live in Stockholm,Groovin',Aretha Franklin,1FjyfUBL7Dj1GpSxL1XLCQ7cnutZsEtfgNslDWdncr8V,0.081,78.11,0.0141,-0.324,0.913,0.146,0.258,14607,1.7361000000000002,difference_instrumentalness
Live in Stockholm,"Baby, I Love You",Aretha Franklin,5liSqIuo993Rj1ayyqQqAw6RjffiYbpA5X3QYwYsIV2a,0.131,-74.703,0.0082,-0.205,0.881,-0.187,0.272,-12800,1.6842000000000001,difference_instrumentalness
Live in Stockholm,Soul Serenade,Aretha Franklin,7JTOzgSUnVvn4RagIEJjDn2QcWJ855Uwwi7gS5pcUfps,-0.021,50.703,0.0134,-0.239,0.59,-0.204,0.587,46654,1.6543999999999999,difference_instrumentalness
Aretha Live at Fillmore West,Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr2eQOTnIdn1kwhORg9HhUQI,0.286,39.511,0.084,-0.35,0.0,-0.387,0.527,88133,1.634,difference_acousticness
Aretha Live at Fillmore West,Respect (with The Royal Philharmonic Orchestra),Aretha Franklin,5WzvMWs3IrIWnLL77XUmFI2eQOTnIdn1kwhORg9HhUQI,0.158,39.725,0.0918,-0.243,-0.0001,-0.355,0.6814,78627,1.5293,difference_acousticness
Live in Stockholm,Dr. Feelgood (Love Is a Serious Business),Aretha Franklin,0xGcAq56TXf3RnSHkCiL9k2UKeWAnNbXQgwMWFIPh4jx,0.063,-31.436,0.0641,-0.211,0.558,0.004,0.579,131974,1.4791,difference_acousticness
Live in Stockholm,Come Back Baby,Aretha Franklin,3cyWykDWEIr32xDFpNiGY35hLhPxamaFWyQmhDYmmLpC,0.015,-69.914,0.0178,-0.026,0.8206,-0.159,0.367,3331,1.4054,difference_instrumentalness
Live in Stockholm,Chain of Fools,Aretha Franklin,6mXG9gssLzhnVWtq6UNu5J3MqJC3K59vRJYTLwuitEj5,-0.083,17.358,-0.0137,-0.257,0.656,0.182,0.168,-89833,1.3597000000000001,difference_instrumentalness
Divas Live,Precious Memories,Aretha Franklin,6NhWz5c9LZcLFZbNYp35Xh6xKnrPqPbfsXkYmAFT4zCM,0.278,62.245,0.0753,-0.006,-0.0002,0.152,-0.633,122346,1.1445,difference_energy
Live in Stockholm,Night Life,Aretha Franklin,0ZRylPJOOywX0X5gFMnhZR3dXNhMtIfEtYDvTTQCgwGQ,0.003,-54.21,0.0118,-0.107,0.823,0.007,0.183,37174,1.1348,difference_instrumentalness
Divas Live,Chain of Fools,Aretha Franklin,2oZmMp5M6L0Rh7G84Um2tF6h4HJyK3bTRccEI9SLrl29,0.204,15.451,0.2982,-0.207,0.0,-0.358,0.034,47068,1.1012,difference_speechiness
Live in Stockholm,Night Life,Aretha Franklin,1lcqR8gUsUVnCZjaT6brrX3dXNhMtIfEtYDvTTQCgwGQ,0.013,-54.686,0.0132,-0.106,0.823,0.014,0.132,37134,1.1012,difference_instrumentalness
Divas Live,Chain of Fools,Aretha Franklin,6mXG9gssLzhnVWtq6UNu5J6h4HJyK3bTRccEI9SLrl29,0.262,14.646,0.286,-0.134,-6e-06,0.027,-0.389,-46416,1.098006,difference_speechiness
Divas Live,Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr74Zd2dsIMJqLJmMXb1e0Ei,0.314,4.811,0.072,-0.22,0.0,-0.377,0.102,39097,1.085,difference_energy
Divas Live,Ain't No Way,Aretha Franklin,0qgYfRBF5mSCPOdHdgus667mHxpXWwd3FhZCKqkP3fbF,0.218,7.015,0.0563,-0.05,-0.0002,0.215,-0.509,65899,1.0485,difference_energy
Divas Live,Rock Steady,Aretha Franklin,7rvGZDlfqCjY9EWEUg3Xs61c08u7xRMRSyU7H6ArhXKo,0.104,2.28,-0.0314,-0.279,-0.0954,-0.382,0.1142,2512,1.006,difference_acousticness
Divas Live,Respect (with The Royal Philharmonic Orchestra),Aretha Franklin,5WzvMWs3IrIWnLL77XUmFI74Zd2dsIMJqLJmMXb1e0Ei,0.186,5.025,0.0798,-0.113,-0.0002,-0.345,0.2564,29591,0.9803999999999999,difference_acousticness
Divas Live,Ain't No Way - Mono,Aretha Franklin,6p3iGqLGUxFES79KULUzFm7mHxpXWwd3FhZCKqkP3fbF,0.117,6.468,0.058,-0.08,-0.0031,0.258,-0.407,67664,0.9230999999999999,difference_valence
Aretha Live at Fillmore West,Don't Play That Song (You Lied) (with The Royal Philharmonic Orchestra),Aretha Franklin,5vW4aaWSi5xdPyRPLdfeQ32DV4YjrsrhB7u7waXAKsS9,0.083,18.772,0.0234,-0.077,-0.0002,0.137,0.57,20720,0.8906,difference_acousticness
Divas Live,Think,Aretha Franklin,4yQw7FR9lcvL6RHtegbJBh71DnhLXbjE40FYUxkqmdtu,0.243,13.559,0.1461,-0.08,0.0,-0.288,-0.035,-2068,0.7921,difference_energy
Aretha Live at Fillmore West,Spirit in the Dark,Aretha Franklin,1wGvueGYFPUmQUtVglgcPt2W1I63tMHrmnOPGXAUEicI,0.252,-10.99,-0.0481,-0.051,0.0376,-0.108,0.291,275107,0.7877,difference_acousticness
Aretha Live at Fillmore West,Spirit in the Dark,Aretha Franklin,1wGvueGYFPUmQUtVglgcPt0yCMHJqvONxxcKY8ifaqS4,0.299,-5.228,0.051,-0.104,3.46e-06,-0.108,0.138,76600,0.7000034599999999,difference_energy
Divas Live,Think (1989),Aretha Franklin,3DEMkCWgYWCGDmrgb3Thgu71DnhLXbjE40FYUxkqmdtu,0.032,12.06,0.1505,-0.102,-0.0016,-0.253,0.1489,-79849,0.688,difference_speechiness
Aretha Live at Fillmore West,Dr. Feelgood (Love Is a Serious Business),Aretha Franklin,0xGcAq56TXf3RnSHkCiL9k3fZupmFti8Pb6rUm8obXsS,0.02,-24.995,0.0315,-0.265,0.0002,-0.019,0.331,220134,0.6667000000000001,difference_acousticness
Divas Live,Think (with The Royal Philharmonic Orchestra),Aretha Franklin,5nNwGGIZmgUVdxOscPgJl271DnhLXbjE40FYUxkqmdtu,0.065,13.476,0.1401,-0.005,3.76e-06,-0.188,0.1925,-36908,0.59060376,difference_acousticness
Aretha Live at Fillmore West,Eleanor Rigby,Aretha Franklin,5ryGpLshVg4CFM42WEDzcd5t9cUodALGEuaOBwhknTJV,0.29,20.534,0.0093,-0.171,0.0001,-0.079,0.038,-4734,0.5873999999999999,difference_energy
Divas Live,Day Dreaming,Aretha Franklin,7L4G39PVgMfaeHRyi1ML7y328uIwA3Jvael4LQqJEZCv,0.099,-6.006,-0.0118,-0.091,-0.0004,0.052,-0.197,21881,0.45120000000000005,difference_energy
Aretha Live at Fillmore West,Don't Play That Song,Aretha Franklin,4M1zcX803dgkDkISHZDPYi2DV4YjrsrhB7u7waXAKsS9,0.253,19.486,0.0232,-0.03,-1.43e-06,-0.028,0.092,15160,0.4262014300000001,difference_energy
"One Lord, One Faith, One Baptism",Ave Maria,Aretha Franklin,1wO7FZ4s3JSN7npip2zDR02BK2pHOEjGqOoQottD00UK,-0.101,17.318,0.0015,0.057,-0.0001,-0.0433,0.036,112866,0.2389,difference_dance
Tiny Sparrow: The Bobby Scott Sessions,I May Never Get To Heaven,Aretha Franklin,3H4e0h2ipItBCeeq3GdcSZ2ypgg1FL4H2GHr87fayjsA,0.04,-0.58,-0.0016,-0.022,-0.0177,-0.013,-0.055,-266,0.1493,difference_energy
Before The Flood,Blowin' in the Wind,Bob Dylan,18GiV1BaXzPVYpp9rmOg0E2Xc1Xd7q4bunmnYkwIwJGY,0.8777,-21.265,0.2621,-0.16,0.0,-0.112,-0.788,106760,2.1998000000000006,difference_energy
Before The Flood,All Along the Watchtower,Bob Dylan,0Fnb2pfBfu0ka33d6Yki171bsyJmIrgFIIYzbZIYZ7Cr,0.559,16.8,0.3537,-0.257,0.0,-0.374,-0.376,48720,1.9197000000000002,difference_energy
Before The Flood,Most Likely You Go Your Way (And I'll Go Mine),Bob Dylan,2SbnSPLltgmScvZVI0OcRF0mhzu24T3SIwjXywRmZ1qF,0.101,17.451,0.298,-0.258,0.0046,-0.737,-0.519,48040,1.9176000000000002,difference_speechiness
Before The Flood,It Ain't Me Babe,Bob Dylan,5nbNWAfT1S6V1vqj3snHxS6N5ocPkQ8FPaZu90bRSJM7,0.679,-5.05,0.1544,-0.117,0.0,-0.081,-0.6,5706,1.6314,difference_energy
Before The Flood,"Lay, Lady, Lay",Bob Dylan,4uYwlMp841PLJmj1gJJwIq5IxDmhavVKeGl1xig1DOZE,0.773,13.166,0.3356,-0.173,-0.0034,0.011,-0.3186,-2893,1.6146,difference_energy
Before The Flood,Like a Rolling Stone,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc45EwNhLS19bQGUFGdLkn7o,0.262,8.355,0.175,-0.091,0.0,-0.328,-0.609,59520,1.465,difference_energy
Before The Flood,"Don't Think Twice, It's All Right",Bob Dylan,2WOjLF83vqjit2Zh4B69V37dLdsnS0rQX3dB9jlp9SSv,0.576,17.53,0.2324,-0.168,-0.0022,-0.033,-0.446,58640,1.4576,difference_energy
Mtv Unplugged,All Along the Watchtower,Bob Dylan,0Fnb2pfBfu0ka33d6Yki177ISP5Y8A11ihQWTU3McSV7,0.52,5.242,0.0138,-0.069,0.229,-0.159,-0.074,65333,1.0648,difference_energy
Before The Flood,Ballad of a Thin Man,Bob Dylan,0f5N14nB8xi0p3o4BlVvbx22AcnJdThFNonl3dPpb84M,0.36,66.625,0.245,-0.02,1.72e-06,-0.06,-0.372,-129560,1.0570017200000001,difference_energy
Mtv Unplugged,Shooting Star,Bob Dylan,7IuEjrhTNqxzm3dcINDH7V3nq6WrtJ5IvdJp7KiBMIx1,0.111,1.69,-0.0085,0.041,0.0169,0.199,0.6696,52973,1.0459999999999998,difference_acousticness
Mtv Unplugged,Rainy Day Women #12 & 35,Bob Dylan,7BkAlVpGwXXl3sYNn5OoJ74cjMXe7SzD6aTqmscIhSmc,0.376,15.608,0.0181,0.06,0.36,-0.097,-0.111,-63066,1.0221,difference_energy
Bob Dylan In Concert: Brandeis University 1963,Masters of War,Bob Dylan,7xVpkVkd1klTzLJEysIR7z2vt23ATfyP6rbwmymgnACl,0.261,-11.843,0.3818,-0.061,-3.27e-06,-0.184,-0.119,116653,1.00680327,difference_speechiness
Before The Flood,"It's Alright, Ma (I'm Only Bleeding)",Bob Dylan,5Oer8yskMaCGXwGSfM7xr913xOSoL6ErbEd6JPKtqZ2I,0.418,13.709,-0.0249,-0.207,0.0,-0.109,-0.165,-101027,0.9238999999999999,difference_energy
Before The Flood,Highway 61 Revisited,Bob Dylan,6os5B6xjuke9YfBKH3tu1e7iCYO5Db1xLBqmzYf4T2EO,0.163,53.483,0.0941,0.01,2.72e-06,-0.187,-0.4685,60640,0.92260272,difference_energy
