album_name_live,track_name_studio,artist_name_studio,track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness
Living In Clip,Untouchable Face,Ani DiFranco,2E8AVQcuYSlXm12g112Kef7wsK8rdtPbNEOgpu7fcflG,-0.214,1.499,0.0232,-0.126,-0.0001,-0.114,-0.075
Living In Clip,Untouchable Face,Ani DiFranco,64PN8dtCRX1tjByf6yfe2X7wsK8rdtPbNEOgpu7fcflG,-0.145,0.186,0.0119,0.015,4.08e-06,-0.006,-0.034
So Much Shouting So Much Laughing,Welcome To:,Ani DiFranco,3rhJAs5MEE52YqqW2CJcAf7FTwnfeYWnTt8ZBtrpLcOh,-0.019,-87.018,-0.0089,0.13,0.0039,-0.013,0.097
So Much Shouting So Much Laughing,What How When Where (Why Who),Ani DiFranco,4v0QMMSs0M79S7MiOeJGck1t3igFTBGIkjEUw8jL1HrX,0.383,14.969,-0.1215,-0.08,-0.034,-0.161,-0.201
So Much Shouting So Much Laughing,Whatall Is Nice,Ani DiFranco,4XmfJCDvBBsFumLfhsVh7j6950ZW6MYVTwN4l6FRFl3U,0.294,-45.438,-0.0075,0.069,0.6562,-0.001,-0.79
Living In Clip,Willing to Fight,Ani DiFranco,4LqiwnQe4ZlR8prQGIjzaJ2tW0ADyWrkTDV6kocGbQjJ,0.005,-1.312,0.0358,0.075,0.0,-0.215,-0.4823
So Much Shouting So Much Laughing,You Had Time,Ani DiFranco,5ezdmutheOfhOIdoEeK5vM6EB59ZdPOIo2XVO015kNL8,0.321,78.504,-0.0072,-0.182,0.1061,0.15,-0.273
Live in Stockholm,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,3lrSnngQqNWgvQmcFbCJCx5vg7K9MwOrotD1Q8gnYZgx,0.069,28.449,0.192,-0.424,0.8376,-0.251,0.04
Live in Stockholm,(Sweet Sweet Baby) Since You've Been Gone - Mono,Aretha Franklin,1fQfd7oyrrcjsCA3qUnhKX5vg7K9MwOrotD1Q8gnYZgx,-0.067,27.939,0.1853,-0.458,0.8686,-0.272,0.154
Live in Stockholm,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,5K09WxKdlkroDyEVyOSySy1kIgGlaAwTNOWW5qkB4m2B,0.126,-6.251,0.0189,-0.305,0.872,0.274,0.609
Live in Stockholm,(You Make Me Feel Like) A Natural Woman - Mono,Aretha Franklin,1S8YOLgJKX5w4i4UhdbKzk1kIgGlaAwTNOWW5qkB4m2B,0.128,-6.298,0.0196,-0.309,0.872,0.256,0.574
Divas Live,Ain't No Way,Aretha Franklin,0qgYfRBF5mSCPOdHdgus667mHxpXWwd3FhZCKqkP3fbF,0.218,7.015,0.0563,-0.05,-0.0002,0.215,-0.509
Divas Live,Ain't No Way - Mono,Aretha Franklin,6p3iGqLGUxFES79KULUzFm7mHxpXWwd3FhZCKqkP3fbF,0.117,6.468,0.058,-0.08,-0.0031,0.258,-0.407
"One Lord, One Faith, One Baptism",Ave Maria,Aretha Franklin,1wO7FZ4s3JSN7npip2zDR02BK2pHOEjGqOoQottD00UK,-0.101,17.318,0.0015,0.057,-0.0001,-0.0433,0.036
Live in Stockholm,Baby I Love You,Aretha Franklin,2VXUTvGuqBE3AC0ZMkouAe6RjffiYbpA5X3QYwYsIV2a,0.137,16.506,0.0161,-0.359,0.881,-0.178,0.26
Live in Stockholm,"Baby, I Love You",Aretha Franklin,5liSqIuo993Rj1ayyqQqAw6RjffiYbpA5X3QYwYsIV2a,0.131,-74.703,0.0082,-0.205,0.881,-0.187,0.272
Divas Live,Chain of Fools,Aretha Franklin,2oZmMp5M6L0Rh7G84Um2tF6h4HJyK3bTRccEI9SLrl29,0.204,15.451,0.2982,-0.207,0.0,-0.358,0.034
Divas Live,Chain of Fools,Aretha Franklin,6mXG9gssLzhnVWtq6UNu5J6h4HJyK3bTRccEI9SLrl29,0.262,14.646,0.286,-0.134,-6e-06,0.027,-0.389
Live in Stockholm,Chain of Fools,Aretha Franklin,2oZmMp5M6L0Rh7G84Um2tF3MqJC3K59vRJYTLwuitEj5,-0.141,18.163,-0.0015,-0.33,0.656,-0.203,0.591
Live in Stockholm,Chain of Fools,Aretha Franklin,6mXG9gssLzhnVWtq6UNu5J3MqJC3K59vRJYTLwuitEj5,-0.083,17.358,-0.0137,-0.257,0.656,0.182,0.168
Live in Stockholm,Come Back Baby,Aretha Franklin,3cyWykDWEIr32xDFpNiGY35hLhPxamaFWyQmhDYmmLpC,0.015,-69.914,0.0178,-0.026,0.8206,-0.159,0.367
Divas Live,Day Dreaming,Aretha Franklin,7L4G39PVgMfaeHRyi1ML7y328uIwA3Jvael4LQqJEZCv,0.099,-6.006,-0.0118,-0.091,-0.0004,0.052,-0.197
Live in Stockholm,Don't Let Me Lose This Dream,Aretha Franklin,6Ku82QCBc2uC0yfl7GJVVj0CHmCJpKWdbwwQMaH4zQMP,0.021,4.268,0.0108,-0.34,0.927,0.257,0.606
Aretha Live at Fillmore West,Don't Play That Song,Aretha Franklin,4M1zcX803dgkDkISHZDPYi2DV4YjrsrhB7u7waXAKsS9,0.253,19.486,0.0232,-0.03,-1.43e-06,-0.028,0.092
Aretha Live at Fillmore West,Don't Play That Song (You Lied) (with The Royal Philharmonic Orchestra),Aretha Franklin,5vW4aaWSi5xdPyRPLdfeQ32DV4YjrsrhB7u7waXAKsS9,0.083,18.772,0.0234,-0.077,-0.0002,0.137,0.57
Aretha Live at Fillmore West,Dr. Feelgood (Love Is a Serious Business),Aretha Franklin,0xGcAq56TXf3RnSHkCiL9k3fZupmFti8Pb6rUm8obXsS,0.02,-24.995,0.0315,-0.265,0.0002,-0.019,0.331
Live in Stockholm,Dr. Feelgood (Love Is a Serious Business),Aretha Franklin,0xGcAq56TXf3RnSHkCiL9k2UKeWAnNbXQgwMWFIPh4jx,0.063,-31.436,0.0641,-0.211,0.558,0.004,0.579
Aretha Live at Fillmore West,Eleanor Rigby,Aretha Franklin,5ryGpLshVg4CFM42WEDzcd5t9cUodALGEuaOBwhknTJV,0.29,20.534,0.0093,-0.171,0.0001,-0.079,0.038
Live in Stockholm,Groovin',Aretha Franklin,1FjyfUBL7Dj1GpSxL1XLCQ7cnutZsEtfgNslDWdncr8V,0.081,78.11,0.0141,-0.324,0.913,0.146,0.258
Tiny Sparrow: The Bobby Scott Sessions,I May Never Get To Heaven,Aretha Franklin,3H4e0h2ipItBCeeq3GdcSZ2ypgg1FL4H2GHr87fayjsA,0.04,-0.58,-0.0016,-0.022,-0.0177,-0.013,-0.055
Live in Stockholm,I Never Loved a Man (The Way I Love You),Aretha Franklin,1hES47PrbU8GPTI5A9lsr04iAjI9JjtB4qnLuBgjqrMW,0.113,-63.239,0.0206,-0.362,0.8341,-0.095,0.525
Live in Stockholm,I Never Loved a Man (The Way I Love You) - Stereo,Aretha Franklin,6soyMRtt1bM1ba5e8Hg4o64iAjI9JjtB4qnLuBgjqrMW,0.181,-63.544,0.0146,-0.416,0.8642,-0.049,0.473
Live in Stockholm,Night Life,Aretha Franklin,0ZRylPJOOywX0X5gFMnhZR3dXNhMtIfEtYDvTTQCgwGQ,0.003,-54.21,0.0118,-0.107,0.823,0.007,0.183
Live in Stockholm,Night Life,Aretha Franklin,1lcqR8gUsUVnCZjaT6brrX3dXNhMtIfEtYDvTTQCgwGQ,0.013,-54.686,0.0132,-0.106,0.823,0.014,0.132
Divas Live,Precious Memories,Aretha Franklin,6NhWz5c9LZcLFZbNYp35Xh6xKnrPqPbfsXkYmAFT4zCM,0.278,62.245,0.0753,-0.006,-0.0002,0.152,-0.633
Aretha Live at Fillmore West,Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr2eQOTnIdn1kwhORg9HhUQI,0.286,39.511,0.084,-0.35,0.0,-0.387,0.527
Divas Live,Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr74Zd2dsIMJqLJmMXb1e0Ei,0.314,4.811,0.072,-0.22,0.0,-0.377,0.102
Live in Stockholm,Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr3oBZ5xTyAg4tFMFhg4RdLC,0.074,28.859,0.0321,-0.462,0.889,-0.338,0.515
Aretha Live at Fillmore West,Respect (with The Royal Philharmonic Orchestra),Aretha Franklin,5WzvMWs3IrIWnLL77XUmFI2eQOTnIdn1kwhORg9HhUQI,0.158,39.725,0.0918,-0.243,-0.0001,-0.355,0.6814
Divas Live,Respect (with The Royal Philharmonic Orchestra),Aretha Franklin,5WzvMWs3IrIWnLL77XUmFI74Zd2dsIMJqLJmMXb1e0Ei,0.186,5.025,0.0798,-0.113,-0.0002,-0.345,0.2564
Live in Stockholm,Respect (with The Royal Philharmonic Orchestra),Aretha Franklin,5WzvMWs3IrIWnLL77XUmFI3oBZ5xTyAg4tFMFhg4RdLC,-0.054,29.073,0.0399,-0.355,0.8888,-0.306,0.6694
Divas Live,Rock Steady,Aretha Franklin,7rvGZDlfqCjY9EWEUg3Xs61c08u7xRMRSyU7H6ArhXKo,0.104,2.28,-0.0314,-0.279,-0.0954,-0.382,0.1142
Live in Stockholm,Soul Serenade,Aretha Franklin,7JTOzgSUnVvn4RagIEJjDn2QcWJ855Uwwi7gS5pcUfps,-0.021,50.703,0.0134,-0.239,0.59,-0.204,0.587
Aretha Live at Fillmore West,Spirit in the Dark,Aretha Franklin,1wGvueGYFPUmQUtVglgcPt0yCMHJqvONxxcKY8ifaqS4,0.299,-5.228,0.051,-0.104,3.46e-06,-0.108,0.138
Aretha Live at Fillmore West,Spirit in the Dark,Aretha Franklin,1wGvueGYFPUmQUtVglgcPt2W1I63tMHrmnOPGXAUEicI,0.252,-10.99,-0.0481,-0.051,0.0376,-0.108,0.291
Divas Live,Think,Aretha Franklin,4yQw7FR9lcvL6RHtegbJBh71DnhLXbjE40FYUxkqmdtu,0.243,13.559,0.1461,-0.08,0.0,-0.288,-0.035
Divas Live,Think (1989),Aretha Franklin,3DEMkCWgYWCGDmrgb3Thgu71DnhLXbjE40FYUxkqmdtu,0.032,12.06,0.1505,-0.102,-0.0016,-0.253,0.1489
Divas Live,Think (with The Royal Philharmonic Orchestra),Aretha Franklin,5nNwGGIZmgUVdxOscPgJl271DnhLXbjE40FYUxkqmdtu,0.065,13.476,0.1401,-0.005,3.76e-06,-0.188,0.1925
Before The Flood,All Along the Watchtower,Bob Dylan,0Fnb2pfBfu0ka33d6Yki171bsyJmIrgFIIYzbZIYZ7Cr,0.559,16.8,0.3537,-0.257,0.0,-0.374,-0.376
Dylan & The Dead,All Along the Watchtower,Bob Dylan,0Fnb2pfBfu0ka33d6Yki171z56u8TDvHTB6rA9aQSQvM,0.216,8.425,0.017,-0.119,0.022,-0.018,-0.4716
Mtv Unplugged,All Along the Watchtower,Bob Dylan,0Fnb2pfBfu0ka33d6Yki177ISP5Y8A11ihQWTU3McSV7,0.52,5.242,0.0138,-0.069,0.229,-0.159,-0.074
Bob Dylan In Concert: Brandeis University 1963,Ballad of Hollis Brown,Bob Dylan,3Si9u9FVlUTcUXVcawnstJ49mh4Sb9rSwaIcrasmfI8a,-0.01,-11.586,0.0113,-0.037,0.0006,-0.13,-0.626
Bob Dylan Live At Carnegie Hall 1963,Ballad of Hollis Brown,Bob Dylan,3Si9u9FVlUTcUXVcawnstJ2QBUbz7bmi049Fm5pKF7mv,-0.081,-3.794,0.0107,-0.107,0.0002,-0.043,-0.059
Before The Flood,Ballad of a Thin Man,Bob Dylan,0f5N14nB8xi0p3o4BlVvbx22AcnJdThFNonl3dPpb84M,0.36,66.625,0.245,-0.02,1.72e-06,-0.06,-0.372
Before The Flood,Blowin' in the Wind,Bob Dylan,18GiV1BaXzPVYpp9rmOg0E2Xc1Xd7q4bunmnYkwIwJGY,0.8777,-21.265,0.2621,-0.16,0.0,-0.112,-0.788
Bob Dylan In Concert: Brandeis University 1963,Bob Dylan's Dream,Bob Dylan,4MNxOR2Fu4NqJ892UdYx0h7c7g0REAgYXSA8pFLtVoHA,0.051,-11.599,0.0147,-0.053,0.001,-0.208,0.033
Bob Dylan Live At Carnegie Hall 1963,Boots of Spanish Leather,Bob Dylan,6QHYEZlm9wyfXfEM1vSu1P5PNtzbMe7UsK1uUpdEWlZx,-0.0448,72.497,0.0001,-0.166,3.7e-06,-0.049,-0.059
Mtv Unplugged,Desolation Row,Bob Dylan,4n1ZGm3TxYmoYe1YR8cMus1bEz5UZHlW841d51OUuuQt,-0.231,17.893,0.004,0.217,0.0184,0.164,0.069
Before The Flood,"Don't Think Twice, It's All Right",Bob Dylan,2WOjLF83vqjit2Zh4B69V37dLdsnS0rQX3dB9jlp9SSv,0.576,17.53,0.2324,-0.168,-0.0022,-0.033,-0.446
Dylan & The Dead,Gotta Serve Somebody,Bob Dylan,760420tYNmNjFgi8bWvbop7BBg6ZpwfB1KVKEQehUbGl,0.028,3.141,-0.0496,-0.188,4.29e-06,-0.287,-0.3499
Before The Flood,Highway 61 Revisited,Bob Dylan,6os5B6xjuke9YfBKH3tu1e7iCYO5Db1xLBqmzYf4T2EO,0.163,53.483,0.0941,0.01,2.72e-06,-0.187,-0.4685
Bob Dylan In Concert: Brandeis University 1963,"Honey, Just Allow Me One More Chance",Bob Dylan,71XTdtW3bvmIrotG8yYVMS2ptRToH2MrfmeFctB54XxF,0.025,-14.554,0.0651,-0.037,0.0,-0.33,-0.457
Dylan & The Dead,I Want You,Bob Dylan,7tJQ4Ekp2vN3NlI3vJJW3v4SCJH07MVCOOCxDkOF2xZG,-0.058,101.186,0.0697,-0.145,2.34e-06,-0.268,-0.259
Before The Flood,It Ain't Me Babe,Bob Dylan,5nbNWAfT1S6V1vqj3snHxS6N5ocPkQ8FPaZu90bRSJM7,0.679,-5.05,0.1544,-0.117,0.0,-0.081,-0.6
Before The Flood,"It's Alright, Ma (I'm Only Bleeding)",Bob Dylan,5Oer8yskMaCGXwGSfM7xr913xOSoL6ErbEd6JPKtqZ2I,0.418,13.709,-0.0249,-0.207,0.0,-0.109,-0.165
Dylan & The Dead,Joey,Bob Dylan,3sXLemtrtO6ygZF0G4OIwI2jlkCy1VD6Ha7AYUd85yjO,-0.045,28.679,0.0168,-0.091,-0.0003,0.032,-0.067
Before The Flood,Just Like a Woman,Bob Dylan,37Dl7jQMmt0gUnzTKqnjkN478if4L7NYDT3qC5wH7nbi,0.037,36.234,0.0034,-0.169,2.04e-06,-0.079,-0.314
Before The Flood,"Lay, Lady, Lay",Bob Dylan,4uYwlMp841PLJmj1gJJwIq5IxDmhavVKeGl1xig1DOZE,0.773,13.166,0.3356,-0.173,-0.0034,0.011,-0.3186
Before The Flood,Like a Rolling Stone,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc45EwNhLS19bQGUFGdLkn7o,0.262,8.355,0.175,-0.091,0.0,-0.328,-0.609
Mtv Unplugged,Like a Rolling Stone,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc2zsEvCDvYJF2Jl0CoaXw2L,0.107,73.547,0.0245,-0.126,0.0268,0.074,-0.193
Self Portrait,Like a Rolling Stone,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc6W6VdR6GvDExlTEZhO2bsy,-0.153,75.482,0.0131,-0.139,0.0,-0.094,-0.155
Bob Dylan In Concert: Brandeis University 1963,Masters of War,Bob Dylan,7xVpkVkd1klTzLJEysIR7z2vt23ATfyP6rbwmymgnACl,0.261,-11.843,0.3818,-0.061,-3.27e-06,-0.184,-0.119
Before The Flood,Most Likely You Go Your Way (And I'll Go Mine),Bob Dylan,2SbnSPLltgmScvZVI0OcRF0mhzu24T3SIwjXywRmZ1qF,0.101,17.451,0.298,-0.258,0.0046,-0.737,-0.519
Bob Dylan Live At Carnegie Hall 1963,North Country Blues,Bob Dylan,3cY8cOjaN8Lwi08g9Fpr6D3xqdcCI9J1bjO1HaPjRxTi,-0.0455,56.673,0.018,-0.011,-1.81e-06,0.037,-0.056
Dylan & The Dead,Queen Jane Approximately,Bob Dylan,0c2DAekH6ZEnHhf8dM1leK608a9hT6dpN5PlyKUcwJnC,-0.181,68.557,0.0011,-0.007,0.0,0.02,-0.565
Before The Flood,Rainy Day Women #12 & 35,Bob Dylan,7BkAlVpGwXXl3sYNn5OoJ76QU8kwWWVvDsNFFyoAsY0Q,0.358,21.359,0.0752,-0.15,0.0001,0.034,-0.267
Mtv Unplugged,Rainy Day Women #12 & 35,Bob Dylan,7BkAlVpGwXXl3sYNn5OoJ74cjMXe7SzD6aTqmscIhSmc,0.376,15.608,0.0181,0.06,0.36,-0.097,-0.111
Self Portrait,She Belongs to Me,Bob Dylan,2itBkHBUxGl4VfDj4HNyoD1e3bm9QA5rUPHlIcs9xFSs,0.216,16.582,-0.0031,-0.116,0.0,0.133,-0.008
Mtv Unplugged,Shooting Star,Bob Dylan,7IuEjrhTNqxzm3dcINDH7V3nq6WrtJ5IvdJp7KiBMIx1,0.111,1.69,-0.0085,0.041,0.0169,0.199,0.6696
Dylan & The Dead,Slow Train,Bob Dylan,02Dkg9KisMTISWEBK5AKMk6kpqaDEznzrlLFhPDwjNNY,-0.048,-67.881,-0.005,-0.014,0.0002,-0.422,-0.057
